state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
AL,1989,4118000,24329,421,1276,5515,17117,166244,47224,106771,12249,893,5.907965031568723,0.10223409422049538,0.30985915492957744,1.339242350655658,4.156629431762992,40.37008256435163,11.467702768334142,25.92787761049053,2.974502185526955,0.21685284118504128
AL,1990,4040587,28630,467,1319,5805,21039,169974,44585,111336,14053,378,7.085604146130253,0.1155772663724355,0.3264377180840309,1.43667244388006,5.206916717793726,42.066660116463275,11.034287839860891,27.554412267326505,3.47796000927588,0.0935507637875388
AL,1991,4089000,34518,469,1455,6246,26348,184882,51873,118151,14858,888,8.441672780630961,0.11469797016385425,0.3558327219369039,1.5275128393250184,6.443629249205185,45.214477867449254,12.685986793837124,28.894839814135487,3.6336512594766446,0.21716801173881145
AL,1992,4136000,36052,455,1704,6819,27074,181837,49053,117801,14983,860,8.716634429400386,0.11000967117988394,0.4119922630560928,1.6486943907156673,6.545938104448743,43.9644584139265,11.860009671179885,28.4818665377176,3.6225822050290137,0.2079303675048356
AL,1993,4187000,32676,484,1471,6677,24044,171598,45578,111878,14142,789,7.804155720085981,0.11559589204681156,0.3513255314067351,1.5946978743730595,5.742536422259374,40.9835204203487,10.885598280391688,26.72032481490327,3.377597325053738,0.18844041079531884
AL,1994,4219000,28844,501,1487,7223,19633,178015,44064,119951,14000,716,6.836691159042427,0.11874851860630481,0.35245318795923203,1.7120170656553686,4.653472386821521,42.19364778383503,10.4441810855653,28.431144821047642,3.3183218772220906,0.1697084617207869
AL,1995,4253000,26894,475,1350,7900,17169,179294,43586,120967,14741,879,6.323536327298378,0.11168586879849518,0.31742299553256526,1.857512344227604,4.036915118739713,42.15706560075241,10.248295320949918,28.44274629673172,3.4660239830707735,0.2066776393134258
AL,1996,4273000,24159,444,1397,7124,15194,181803,42821,123350,15632,944,5.65387315703253,0.10390826117481863,0.3269365785162649,1.66721273110227,3.5558155862391763,42.54692253685935,10.021296512988533,28.867306342148375,3.658319681722443,0.22092206880411888
AL,1997,4319000,24379,426,1396,6931,15626,186809,43786,127616,15407,829,5.644593655938874,0.09863394304237091,0.3232229682796944,1.6047696225978236,3.6179671220189857,43.25283630470016,10.137994906228293,29.547580458439455,3.567260940032415,0.19194257930076405
AL,1998,4352000,22286,354,1443,5698,14791,177779,41965,120943,14871,671,5.1208639705882355,0.08134191176470588,0.33157169117647056,1.3092830882352942,3.3986672794117645,40.849954044117645,9.642693014705882,27.790211397058822,3.417049632352941,0.15418198529411764
AL,1999,4369862,21421,345,1513,5297,14266,171398,38648,119616,13134,589,4.901985463156502,0.07894986157457604,0.34623519003574943,1.2121664253928384,3.2646339861533384,39.22274891060633,8.844215217780333,27.37294678870866,3.0055869041173384,0.13478686512297183
AL,2000,4447100,21620,329,1482,5702,14107,180539,40331,127399,12809,634,4.86159519686987,0.07398079647410671,0.3332508825976479,1.282183895122664,3.172179622675451,40.59701828157675,9.069056238897257,28.64765802433046,2.8803040183490363,0.14256481752153088
AL,2001,4468912,19582,379,1369,5584,12250,173253,40642,119992,12619,550,4.381827165090742,0.084808114368777,0.30633854504183566,1.2495211362407672,2.7411593694393623,38.76849667212064,9.094383599408536,26.850383270021872,2.8237298026902296,0.12307246148503259
AL,2002,4478896,19931,303,1664,5962,12002,180400,42578,123932,13890,604,4.449980530916547,0.06765059961204725,0.3715201246021341,1.3311316002872138,2.6796782064151525,40.27778273931791,9.506360495979367,27.67021158785558,3.1012106554829586,0.1348546606127939
AL,2003,4503726,19331,299,1656,6038,11338,182241,43245,124039,14957,519,4.292223816457751,0.06638947396000557,0.36769554808618465,1.3406677049181057,2.5174710894934553,40.464495397810616,9.602049503011507,27.541417928177694,3.3210279666214153,0.11523791633860497
AL,2004,4525375,19324,254,1742,6042,11286,182340,44666,123650,14024,479,4.270143358285225,0.056127945197911776,0.3849404745463083,1.3351379719912715,2.4939369665497333,40.29279341491036,9.870121260669006,27.3237024555976,3.0989696986437587,0.10584758169212496
AL,2005,4548327,19678,374,1564,6447,11293,177393,43473,120780,13140,415,4.326425958379861,0.0822280368144155,0.34386269940573755,1.4174442602741624,2.482890961885546,39.001813194170076,9.558019904901297,26.554818947714182,2.8889743415545976,0.09124234031546104
AL,2006,4599030,19553,382,1646,7062,10463,181249,44780,121451,15018,675,4.251548696138099,0.0830609932964125,0.3579015575023429,1.5355411902075005,2.2750449551318432,39.410266947595474,9.736835811029717,26.40795993937852,3.265471197187233,0.14677007977769227
AL,2007,4627851,20775,412,1548,7398,11417,184082,45379,124465,14238,686,4.4891246498644835,0.0890262024425592,0.33449650820650884,1.5985821496845944,2.4670197895308212,39.77699368454171,9.805631166604112,26.894772541294007,3.076589976643587,0.14823294872717382
AL,2008,4661900,21110,351,1618,7346,11795,190416,50411,126539,13466,628,4.528196658014973,0.07529119028722195,0.34706879169437355,1.5757523756408334,2.530084300392544,40.84514897359446,10.813402260880757,27.14322486539823,2.8885218473154723,0.1347090242175937
AL,2009,4708708,21194,322,1504,6265,13103,178007,48844,118072,11091,484,4.501022361123264,0.06838393886390917,0.3194082113395012,1.3305135931130154,2.7827166178068383,37.80378821536608,10.373121459219812,25.075243569998396,2.3554231861478776,0.10278828077680757
AL,2010,4785401,18363,275,1355,4864,11869,168828,42484,115564,10780,738,3.837295975823134,0.05746644847526885,0.2831528643054156,1.016424746849846,2.4802519161926035,35.279802047937046,8.877834898266624,24.149282369439888,2.2526847802305388,0.15421905081726694
AL,2011,4803689,20166,299,1370,4906,13591,173192,51119,111411,10662,795,4.198023643912001,0.06224382969005695,0.28519748051965893,1.021298422941202,2.8292839107610837,36.05395769792757,10.641613143565289,23.192800366551623,2.2195441878106594,0.1654978080387802
AL,2012,4817528,21693,342,1296,5020,15035,168878,47481,111523,9874,1040,4.502931794065338,0.07099076538839005,0.2690176372612676,1.0420281937126261,3.1208951977030543,35.05490782824718,9.85588459475482,23.14942435207434,2.0495988814180217,0.21587835088867152
AL,2013,4833996,20834,346,2055,4645,13788,161835,42410,108862,10563,761,4.309891857585319,0.07157639352618413,0.42511412918008207,0.9609027396795529,2.8522985951994997,33.47851342864165,8.773279911692107,22.520084832507102,2.1851486844424364,0.15742669211972868
AL,2014,4846411,20727,276,2005,4702,13744,154087,39723,104223,10141,1245,4.2767730594867,0.05694935902052055,0.41370820592805685,0.9702024859220565,2.8359130086160667,31.7940430557788,8.196374595551223,21.50519219273809,2.092476267489489,0.2568911303643046
AL,2015,4853875,22957,348,2037,4612,15960,144785,35265,99182,10338,770,4.729623239164585,0.07169529499626587,0.41966470088331487,0.9501686796631558,3.2880945636218484,29.828745074811362,7.265329247250908,20.43357111586104,2.1298447116994152,0.15863614122736988
AL,2016,4860545,25878,407,1915,4687,18869,143259,34045,97498,11716,1054,5.324094314526457,0.08373546587882634,0.3939887399458291,0.9642951562016193,3.8820749525001825,29.47385529811986,7.004358564728852,20.059067450255064,2.4104292831359446,0.2168481106542579
AL,2017,4875120,25469,419,2001,4233,18816,143774,31270,99707,12797,703,5.224281658707889,0.08594660234004496,0.410451435041599,0.8682863191059913,3.859597302220253,29.491376622524164,6.414201086332234,20.45221450959156,2.624961026600371,0.14420157862780814
AL,2018,4887681,25567,383,2032,4047,19105,138702,29101,96328,13273,782,5.230906026804941,0.07836026942020154,0.4157390795348551,0.8280000270066725,3.908806650843212,28.377874906320606,5.9539483039093595,19.708323845193664,2.7156027572175847,0.15999407489973264
