year,state_abbr,measure_type,violent_crime_1000,property_crime_1000
1979-01-01,AK,historical,4.9113300492610845,57.1256157635468
1980-01-01,AK,historical,4.359956559473988,52.09682329793566
1981-01-01,AK,historical,6.157766990291263,59.791262135922324
1982-01-01,AK,historical,6.237442922374428,55.88812785388128
1983-01-01,AK,historical,6.137787056367433,54.04801670146138
1984-01-01,AK,historical,6.216,54.93600000000001
1985-01-01,AK,historical,5.817658349328215,52.95201535508637
1986-01-01,AK,historical,5.704119850187267,56.75468164794008
1987-01-01,AK,historical,4.554285714285714,49.22095238095239
1988-01-01,AK,historical,5.228070175438597,43.988304093567244
1989-01-01,AK,historical,4.977229601518027,42.82163187855787
1990-01-01,AK,historical,5.245044478340784,46.281836147355754
1991-01-01,AK,historical,6.13859649122807,50.877192982456144
1992-01-01,AK,historical,6.604770017035775,49.09028960817717
1993-01-01,AK,historical,7.607679465776294,48.07178631051753
1994-01-01,AK,historical,7.663366336633662,49.41749174917491
1995-01-01,AK,historical,7.708609271523179,49.82947019867549
1996-01-01,AK,historical,7.276771004942338,47.22734761120264
1997-01-01,AK,historical,7.011494252873563,45.714285714285715
1998-01-01,AK,historical,6.539087947882737,41.23127035830619
1999-01-01,AK,historical,6.308313155770782,37.28652138821629
2000-01-01,AK,historical,5.668876369367013,36.8253654303816
2001-01-01,AK,historical,5.894607262913687,36.55129965437243
2002-01-01,AK,historical,5.6540947368749235,37.59731372041615
2003-01-01,AK,historical,5.980440550379466,37.616462022582844
2004-01-01,AK,historical,6.323023010087343,33.70859970657768
2005-01-01,AK,historical,6.323378861460107,36.147593753816416
2006-01-01,AK,historical,6.880052771944906,35.78075167188267
2007-01-01,AK,historical,6.613234076297994,33.791870404021786
2008-01-01,AK,historical,6.52053860377419,29.273211296049933
2009-01-01,AK,historical,6.333816768865797,29.404143037740898
2010-01-01,AK,historical,6.353042655143347,28.36814880990722
2011-01-01,AK,historical,6.100627193103639,26.37802890061614
2012-01-01,AK,historical,6.0412949622555985,27.436406880941853
2013-01-01,AK,historical,6.3871719436453125,28.77007944290948
2014-01-01,AK,historical,6.3550985962884265,27.588508722657746
