state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000,avg_unemployment_rate,avg_CPI,ag_Democrat,ag_Mixed,ag_Republican,ag_Unknown
MA,1986,5832000,32476,208,1731,11239,19298,242989,62455,127668,52866,2226,5.568587105624142,0.0356652949245541,0.2968106995884774,1.9271262002743483,3.3089849108367626,41.664780521262,10.709019204389577,21.890946502057613,9.064814814814817,0.3816872427983539,4.0,109.69166666666668,1,0,0,0
MA,1987,5855000,33060,173,1868,10379,20640,244105,62056,127939,54110,2032,5.646456020495303,0.0295473953885567,0.3190435525192143,1.77267292912041,3.5251921434671223,41.69171648163962,10.598804440649015,21.851238257899237,9.241673783091375,0.3470538001707942,3.341666666666667,113.61666666666667,1,0,0,0
MA,1988,5871000,36376,208,1876,10352,23940,256639,62307,141933,52399,2028,6.195878044626128,0.0354283767671606,0.3195367058422756,1.7632430591040709,4.077669902912621,43.71299608243911,10.612672457843638,24.17526826775677,8.9250553568387,0.345426673479816,3.308333333333334,118.275,1,0,0,0
MA,1989,5913000,39912,254,1881,11980,25797,263780,63004,146925,53851,1318,6.749873160832065,0.0429561982073397,0.3181126331811263,2.026044309149332,4.3627600202942665,44.61018095721292,10.65516658210722,24.84779299847793,9.10722137662777,0.2228986977845425,4.225,123.94166666666668,1,0,0,0
MA,1990,6016425,44300,243,2030,13062,28965,274442,66942,151933,55567,999,7.363176637288755,0.0403894339246313,0.3374096743498007,2.1710567321956145,4.814320796818708,45.61546100882168,11.126541093755844,25.25303647930457,9.23588343576127,0.1660454505790398,6.383333333333333,130.65833333333333,1,0,0,0
MA,1991,5996000,44138,249,1926,11669,30294,274990,69977,149930,55083,1151,7.361240827218145,0.0415276851234156,0.3212141427618412,1.9461307538358903,5.052368245496998,45.86224149432955,11.670613742494997,25.00500333555704,9.186624416277516,0.1919613075383589,8.858333333333333,136.16666666666666,1,0,0,0
MA,1992,5998000,46727,214,2166,11059,33288,253344,64318,141610,47416,1014,7.790430143381127,0.0356785595198399,0.3611203734578193,1.84378126042014,5.549849949983328,42.2380793597866,10.72324108036012,23.609536512170724,7.905301767255752,0.1690563521173724,8.775,140.3083333333333,1,0,0,0
MA,1993,6012000,48393,233,2006,10563,35591,245831,60220,136548,49063,1112,8.04940119760479,0.0387558216899534,0.333666001330672,1.756986027944112,5.919993346640053,40.89005322687957,10.016633399866931,22.7125748502994,8.160844976713241,0.1849634065202927,7.300000000000001,144.475,1,0,0,0
MA,1994,6041000,42749,214,1825,10160,30550,225532,53222,129962,42348,4403,7.076477404403245,0.0354245985763946,0.3021023009435524,1.6818407548419136,5.057109750041384,37.33355404734316,8.810130773050819,21.51332560834299,7.010097665949346,0.7288528389339514,6.233333333333332,148.225,1,0,0,0
MA,1995,6074000,41739,217,1759,9137,30626,221971,49669,135586,36716,4465,6.871748435956536,0.0357260454395785,0.2895949950609153,1.5042805400065855,5.042146855449457,36.54445176160685,8.177313137965097,22.322357589726703,6.044781033915048,0.7351004280540007,5.458333333333335,152.38333333333335,1,0,0,0
