population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
220097000,1207653,21456,76360,480499,629338,11040763,3327712,6600307,1112744,97747,5.486912588540507,0.09748429101714244,0.3469379409987415,2.1831238045043775,2.8593665520202456,50.16316896641027,15.119297400691513,29.98817339627528,5.055698169443473,0.4441087338764272
225389264,1344053,23044,82946,565616,672447,12062840,3795130,7136056,1131654,140117,5.963252091723411,0.10224089466834588,0.36801220487591635,2.509507285138479,2.983491707040669,53.52002924149928,16.838113460453023,31.661028894437493,5.020886886608761,0.6216667001494801
229146000,1361239,22516,82446,592629,663648,12060886,3779610,7193495,1087781,124102,5.940487723983836,0.09826049767397205,0.3597968107669346,2.5862506873347124,2.8961797282082165,52.63406736316584,16.494331125134195,31.392627407853507,4.7471088301781394,0.5415848411056706
231535000,1321896,21012,78726,552839,669319,11651261,3447087,7141839,1062335,107461,5.7092707366056965,0.09075085840153757,0.34001770790593216,2.387712440883668,2.8907897294145593,50.32181311680739,14.887973740471203,30.845612974280346,4.588226402055844,0.46412421448161184
233980000,1257651,19308,78891,506316,653136,10849862,3129807,6712144,1007911,103727,5.375036327891273,0.08251987349346097,0.33716984357637403,2.163928540900932,2.791418069920506,46.37089494828618,13.376386870672707,28.686827934011454,4.307680143602017,0.44331566800581246
236161000,1272794,18689,84202,484776,685127,10607670,2984381,6591179,1032110,103504,5.389518167690686,0.07913669064748201,0.35654489945418594,2.0527352103014467,2.9011013672875707,44.91711163147175,12.637061157430736,27.909684494899665,4.370365979141348,0.43827727694242485
238739000,1328757,18976,88669,497868,723244,11102550,3073345,6926343,1102862,103698,5.56573077712481,0.07948429037568223,0.3714055935561429,2.085407076346973,3.0294338168460118,46.50496986248581,12.87324232739519,29.012197420614143,4.619530114476478,0.4343571850430805
241058000,1489169,20613,91459,542775,834322,11722700,3241410,7257153,1224137,111163,6.177637746932273,0.08551054103161895,0.3794066158351932,2.251636535605539,3.4610840544599224,48.630205178836626,13.446597914194925,30.105422761327148,5.078184503314555,0.461146280148346
243399000,1483999,20096,91111,517704,855088,12024709,3236184,7499851,1288674,102914,6.096980677817082,0.08256402039449628,0.3743277499085863,2.1269766925911773,3.513112214922822,49.40328021068287,13.29579825718265,30.81299019305749,5.29449176044273,0.42282014305728455
245810000,1566221,20675,92486,542968,910092,12356865,3218077,7705872,1432916,100212,6.371673243562101,0.08410967820674504,0.3762499491477157,2.2088930474756925,3.7024205687319474,50.26998494772385,13.091725316301208,31.348895488385338,5.8293641430373055,0.4076807290183475
248243000,1646037,21500,94504,578326,951707,12605412,3168170,7872442,1564800,102187,6.630748903292338,0.08660868584411242,0.3806914998610233,2.3296769697433564,3.8337717478438464,50.77851943458627,12.762373964220542,31.712644465302144,6.303501005063587,0.4116410130396426
248709873,1820127,23438,102555,639271,1054863,12655486,3073909,7945670,1635907,104088,7.318274011582966,0.09423831759183923,0.41234792476453075,2.5703483029803165,4.24133946624628,50.88453404501558,12.359416869631067,31.94754556446579,6.577571610918719,0.41851173314699897
252181000,1911767,24703,106593,687732,1092739,12961116,3157150,8142228,1661738,103299,7.580931949671069,0.09795741947252172,0.4226845004183503,2.7271364615097884,4.333153568270409,51.39608455831328,12.519380920846535,32.287238134514496,6.589465502952245,0.4096224537138008
255081000,1932274,23760,109062,672478,1126974,12505917,2979884,7915199,1610834,103979,7.575138877454613,0.09314688275488962,0.42755830500899716,2.6363312045977554,4.41810248509297,49.02723840662378,11.682108820335502,31.030139445901497,6.314990140386779,0.4076313014297419
257904000,1926017,24526,106014,659870,1135607,12218777,2834808,7820909,1563060,97138,7.467960946708853,0.09509740058316273,0.4110599292760097,2.5585876915441403,4.40321592530554,47.37722951175631,10.991717848501768,30.324884453129847,6.060627210124697,0.37664402258204605
260341000,1857670,23326,102216,618949,1113179,12131873,2712774,7879812,1539287,103187,7.13552609846317,0.08959787355814106,0.39262352069017176,2.377454953311234,4.275849750903623,46.59993239635708,10.420079818392033,30.26727253870885,5.9125800392562065,0.39635324439869246
262754000,1798792,21606,97470,580509,1099207,12063935,2593784,7997710,1472441,96547,6.845916712971068,0.08222900507699217,0.37095534225929955,2.209325072120691,4.183407293514086,45.9134209184256,9.871530024281267,30.438014264292836,5.603876629851496,0.3674425508270093
265284000,1688540,19645,96252,535594,1037049,11805323,2506400,7904685,1394238,91719,6.365027668460971,0.07405271331855671,0.36282625412765185,2.0189457336288656,3.909202967385896,44.50069736584189,9.447987816830265,29.79706654000995,5.255643009001673,0.3457389062287963
267637000,1636096,18211,96153,498534,1023201,11558475,2461026,7743760,1354189,87332,6.113115899520619,0.06804365614619802,0.3592664691354334,1.8627245111849258,3.82309247226654,43.18713406591764,9.19538778270568,28.933817073125166,5.059797412166479,0.3263076480456738
270296000,1533887,16974,93144,447186,976583,10951827,2332735,7376311,1242781,80428,5.674841655074437,0.06279782164737917,0.3445999940805635,1.6544306981975316,3.6130131411489628,40.51790259567289,8.630297895640336,27.289752715541482,4.597851984491077,0.29755527273803534
272690813,1426044,15522,89411,409371,911740,10208334,2100739,6955520,1152075,78498,5.229527112818428,0.05692160960332755,0.3278841667467543,1.5012276926249069,3.3434936438434395,37.43556259814297,7.703739546223729,25.50698325139395,4.2248398005252925,0.287864483355367
